Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:52:15.763814,14:52:18.061200,-1,1.0
2,14:52:18.762894,14:52:21.086138,-1,1.0
3,14:52:21.774351,14:52:23.953863,-1,1.0
3,14:52:21.774351,14:52:24.333939,-1,1.0
3,14:52:21.774351,14:52:24.631742,-1,1.0
3,14:52:21.774351,14:52:25.230670,-1,1.0
3,14:52:21.774351,14:52:25.484189,-1,1.0
3,14:52:21.774351,14:52:25.707672,-1,1.0
3,14:52:21.774351,14:52:26.039261,-1,1.0
3,14:52:21.774351,14:52:26.439206,-1,1.0
3,14:52:21.774351,14:52:26.711400,-1,1.0
3,14:52:21.774351,14:52:26.961217,-1,1.0
4,14:52:26.990000,14:52:30.148533,-1,1.0
4,14:52:26.990000,14:52:30.351978,-1,1.0
4,14:52:26.990000,14:52:30.542905,-1,1.0
4,14:52:26.990000,14:52:30.925174,-1,1.0
4,14:52:26.990000,14:52:31.325582,-1,1.0
4,14:52:26.990000,14:52:31.557952,-1,1.0
4,14:52:26.990000,14:52:31.816125,-1,1.0
5,14:52:31.842830,14:52:35.514972,-1,1.0
5,14:52:31.842830,14:52:35.715953,-1,1.0
6,14:52:35.748197,14:52:37.492238,-1,1.0
6,14:52:35.748197,14:52:37.726897,-1,1.0
6,14:52:35.748197,14:52:38.115058,-1,1.0
6,14:52:35.748197,14:52:38.511887,-1,1.0
7,14:52:38.534557,14:52:39.972090,-1,1.0
7,14:52:38.534557,14:52:40.355182,-1,1.0
7,14:52:38.534557,14:52:40.907948,-1,1.0
